Comment ID,Comment Text,Does the comment mention specific media content? 0 = No 1 = Yes,- If Y: what content?,- If Y: what is the general attitude toward this media content? 1=Positive/2=Neutral/3=Negative/4=Mixed/5=Unclear,"- - If positive, what does the author like about this content? ","- - If negative, what does the author dislike about this content? ",Does the comment mention gender or gender roles? 0 = No 1 = Yes,- If Y: How would you characterize the gender roles? 1= Women do domestic/care work; 2=Women have limited economic freedom; 3= Women have limited leadership; 4=Women are in subservient roles; 5=Women do not discuss sex or reproductive health; 5=Men are sexual aggressors; 6=Men are leaders; 7=Men are violent; 8=Men are primary breadwinners,- If Y: name any other gender themes and topics addressed in the comment: ,- If Y: What is the general attitude expressed toward discussed gender norms? 1=Positive/2=Neutral/3=Negative/4=Mixed/5=Unclear ,- If Y: What is the general attitude expressed toward women? 1=Positive/2=Neutral/3=Negative/4=Mixed/5=Unclear  ,"- If Y: Does the comment use collective framing (“we,” “our society,” “everyone knows”) or individual framing (“I,” “my experience”) in discussing gender/gender roles? 1 = Collective, 2 = Individual, 3 = Can't tell/Does not apply","- If Y: Does the comment contest or reproduce cultural stereotypes around gender? 0 = Contest, 1 = Reproduce, 3 = Unclear/Neither","Does the comment mention race, ethnicity, nationality, tribe, language, or caste in relation to the media content ? 0 = No 1 = Yes","- If Y,  which? _____","- If Y: What is the general attitude expressed toward this race, ethnicity, nationality, tribe, caste, or language? 1=Positive/2=Neutral/3=Negative/4=Mixed/5=Unclear  ","Does the comment include any sexist or derogatory language? 0= No, 1= Yes","- If Y,  provide a quote","What emotions does the comment generally contain? 1=Contempt, 2=Anger,  3=Disgust, 4=Sadness, 5=Shame, 6=Embarrassment, 7=Guilt, 8=Compassion, 9=Pride, 10=No emotion","What emotions does the author express toward the media content? 1=Contempt, 2=Anger,  3=Disgust, 4=Sadness, 5=Shame, 6=Embarrassment, 7=Guilt, 8=Compassion, 9=Pride, 10=No emotion",Does the comment indicate that the author acquired new knowledge or information by watching?  0 = No I = Yes,- If Y: what did they learn?,Did the comment indicate that the author had existing knowledge reinforced by watching? 0 = No 1 = Yes,- If Y: what knowledge or information was reinforced?,Are there any calls to action in the comment (telling readers to do something)?  0 = No 1 = Yes,"- If Y, what is it calling readers to do?","Does the author share any information in the comment (e.g., share a fact, a link)? 0 = No 1 = Yes","- If Y, what information is shared?","Does the author advocate for anything in the comment (e.g., support a cause)? 0 = No 1 = Yes","- If Y, what do they advocate for?","Does the author correct any information in the comment (e.g., say that something is incorrect)? 0 = No 1 = Yes","- If Y, what do they correct?","Does the comment's author identify themselves in any way (name their gender, profession, location, etc)?  0 = No 1 = Yes","- If Y,  is profession mentioned?  0 = No 1 = Yes","- - If Y, what is the profession?","- If Y, is location mentioned?  0 = No 1 = Yes","- - If Y, what is the location?","- If Y, is race/ethnicity mentioned?  0 = No 1 = Yes","- - If Y, what is the location?","- If Y, is gender mentioned?  0 = No 1 = Yes","- - If Y, what gender?        1=Female, 2=Male, 3=Non-binary                                                                                                                                                                                                ",Notes
1.81E+18,Funny how she is always a part of the casualties of her acquaintances. When they want to fxck up their supposed enemies she is always there being sprayed with wine or almost being cut. 🤣🤣🤣 #RHONairobi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.81E+18,"Minne, Zena and Vera are mean and vile women, we don’t need them on our screens anymore. I’ve lost the like I had for Minne from season 1. Disgusting behaviour!!  #RHONairobi",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.81E+18,Okay so do we all catch these racist comments Minne keeps making about Dr. C's husband...remind me why y'all hyped this woman up in Season 1?!!!  #RHONairobi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.81E+18,"@iAmWayneSam @ShowmaxKenya What did they carry??Being unhinged every episode?💀 Zena has been angry &amp; bitter EVERY EPISODE,the only time she’s happy is around Minnie’s husband lmao. Reja has serious mental issues &amp; it’s painful to witness on screen. They need Baddies West NOT #RHONairobi @ShowmaxKenya",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.81E+18,"Negativity or prioritizing wealth and fame over others well being is what defines a ""nobody"". Whether it's the privileged who perpetuate harmful systems or the poor who justify resentment towards those who have more, the result is the same #rhonairobi. https://t.co/EX8TM7zzAU",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.81E+18,.@ShowmaxKenya @ShowmaxOnline Honestly there is nothing cute about seeing grown women fight or get physical and production fails to address it!!! The show is beyond vile and toxic! The 4 girls ARE BULLIES…#RHONairobi @Rhonairobiquote,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.81E+18,"#RHONairobi This Show lost it when they brought a fake nyash Whore, Child  kidnapper/killer, and that mentally disturbed soldier to the show. We want real Housewives, not these things abeg https://t.co/iC3EY4V3pD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.81E+18,"These women have no shame ….. mnxxxxx  Minnie, Vera and Zena ….. I have lost my understanding of what shady means. No 👸🏽 today just villains 🤮 …. Shooooo coffins ⚰️ broken glass everywhere …. Just hysteria and ratchetness 🚮 #RHONairobi",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.81E+18,"Can someone start a petition for us we don't want Zena and Minne on our screens next season . @ShowmaxOnline @ShowmaxKenya do something those violent women don't deserve our time. 

Other long live the Queen Dr C

#RHONairobi",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.81E+18,"@ShowmaxKenya I don't think any one of us appreciated the disrespect at the event. There is a thin line between entertainment &amp; ugly behaviour. How uncouth. 
Center the show around Dr C, Lisa and her friends. We want opulent fun lives, not social media slay queens.
#RHONairobi",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.81E+18,"Minne is a clown ! That make is horrible and is her husband a housewife now? Her husbands cheap American accent, irks me out 😭. #RHONairobi",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.81E+18,"I hate how Vera pretends to like Dr C but talk badly about her when she is with those evil women, i mean she put you on and you shade like this. Poor Farah her beautiful event ruined by a mad, classless woman who cant control her emotions. Zena is ratchet not a lady. #RHONairobi",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.81E+18,"Production needs to Gove Dr. C her flowers. She's the show and the show is her. Without her, all these other women would give absolutely nothing.
#RHONairobi",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.81E+18,I don’t know who told these women that displaying how angry they can get will earn them respect… because it’s all just lack of self control. #RHONairobi https://t.co/VHS192QupH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.81E+18,"Fuck Zena for the disrespect to Farah, Fuck Vera for being double sided , fuck Minne for racial comments to Dr C’s husband and Farah! #RHONairobi",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.81E+18,"Dr C confidently tells off Zena that the women she has allegedly been killing will get buried in the casket she gifted her. 😂😂
#RHONairobi",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.81E+18,"@ShowmaxKenya
These violent women should be taken out of the cast.

Zena, Minne &amp; Rejah must not return next season.

Attacking people physically over the slightest things is not what civilized people do.

The other ladies do not need to feel threatened on this show.

#RHONairobi",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.81E+18,"Minnie is racist AF. The dairy comments she makes about Dr C husband, while she wants no one to talk about her husband. And very hands on for a pregnant woman throwing things at Dr C &amp; if tables were to be turned... Ho ho ho ho
#RHONairobi https://t.co/YVPnUs09mZ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.81E+18,"These women really think that this is what Real Housewives is about? The alliances, planning take downs behind the scenes, accusations about real life crimes, bullying?? #RHONairobi https://t.co/K5w9He8m61",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.81E+18,I don’t think Dr C meant that she killed literally 😭 but yay it struck a nerve so something is up . It’s really a mafia world because she’s kidnapped kids and now killed women ? #RHONairobi https://t.co/P8euW46ibL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.81E+18,Like this is not housewives vibes. Apart from Dr C… this is REAL GHETTO WOMEN SHOW…. No iota of class among the lots aside Farah and Dr C…. Jeeezzz am I dreaming?  #RHONairobi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.81E+18,Yooooo… this show is evil…. Get Zena and Rejah out of here. These women are ticking time bomb and belong to the mental home… #RHONairobi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.81E+18,"Charles was weirded out that his wife has a wife called Xenah , now he is mentoring her kids and being the father figure? 😭 #rhonairobi https://t.co/3bpxmJF1Nc",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.81E+18,"I’m not sure I appreciate how Dr. C riles up these women, takes them to the bottomest ghetto and then pats herself on the back for all the chaos she’s caused. She enjoys it. They need to stop giving it to her 😬#RHONairobi",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.81E+18,"Farah seems to respect Dr C like the Queen she's as she stood to greet her but she didn't stand to greet the other women.
#RHONairobi",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.81E+18,"Next season brings classy women pr better yet bring back Sonel, Susan and Lisa Gosh😂😂😂 housewives please HOUSE FUCKEN WIVES not street fighters and baby soldiers! JEEEEZZZZ! #RHONairobi",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.81E+18,"@oloriilaalaa God bless you,it’s how they are all hyping that woman’s vileness,she doesn’t support anybody,she doesn’t stick to dress code but wails when people don’t come out for her,very disgusting woman.I don’t even care for any of the women because they all get for body too #RHONairobi",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.81E+18,"Dr C, gossiping and hammering on this women getting them pissed and play pretense settlement only to stir up shit isn’t a show, proud of my #RHOL ladies cause they know how to show up and how to spice up, bringing a coffin to a restaurant what in the heck of tackiness #RHONairobi",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.81E+18,why is minne’s husband getting soo much screen time. he’s cute &amp; all but enough now #RHONairobi https://t.co/kT5VVIC04c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.81E+18,Minnie is a bully let me say Meaniii she’s mean and insecure . Body shames other women as well she cute but that behaviour is nasty and rotten #RHONairobi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.81E+18,Y’all need to give Dr. C a chair to rest because as much as she has her theatrics girl is carrying the show on her back!!!! Cut her a big fat cheque #RHONairobi https://t.co/GJkLA0L6aN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.81E+18,"All these other women should be as open as Dr C when it comes to what they do for a living 
#RHONairobi",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.81E+18,"I'm sorry but, Only Dr C and Ferra are worth watching.

The rest of these girls are tired and washed up!!

Charles is more of a housewife than Minne

#RHONairobi",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.81E+18,"I am tired, reality TV shows are becoming unbearable now. Every week we must watch grown women fight? They keep hosting parties and events but you already know they won't have fun but only fight. 
#RHONairobi",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.81E+18,"@MPireBliss I told my sister the exact same thing..Zenah/Xenah is on something with Charles. Imma tell y'all right now a woman who has been a side chick/side baby mama/2nd wife claiming your husband as ""our husband"" is a huge problem and needs taking out immediately #RHONairobi #RHON https://t.co/6ZuGjfLd3g",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.81E+18,"Not me looking for Zenah on instagram and leaving a nasty comment 😂😂 she really pissed me off. Tomorrow im fetching Minne im tired, someone needs to step in and check these girls!
#RHONairobi https://t.co/8OEzuC1apQ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.81E+18,At this stage Rajah is a nonsense person how could she attack Dr.C with her husband? That was very low of her and a proof that she's so unstable. 100%  mental case with her negative energy. She's a waste. #RhoNairobi #RhoNairobi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.81E+18,"Housewives thinking being late to events is cute is actually not. 
Really you can't be that vain to think your looks are so important, you can't honor time. People make provision for your presence and you won't even eat or immense yourself in the event. 
#RHONairobi",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.81E+18,"I love the relationship Minnie and her husband Charles have you can tell they are each other's best friend. That man loves his wife. 😍😍😍
#RHONairobi",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.81E+18,"So all these grown women a forming a group to bully another woman. Farah has been nothing but nice to these ladies and they return the gestures by showing her their ass. They are all disgusting.
#RHONairobi",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.81E+18,Production needs to cut Charles a cheque.#RHONairobi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.81E+18,"Leaving the baby with Farah was so cute

#RHONairobi",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.81E+18,"What’s this switch up from Dr. C towards Farah? I’ll actually appreciate it if my friend took me to a Gin making class because I’m launching a Gin line. 

Are these women okay? 

#RHONairobi",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131604000,"Of all the men in that house, it's Kellyrae that's really a husband material. He's really matured and full of wisdom. The rest are just for errands. Never seen Shaun in an intelligent conversation, it's so so sex talk with his village people chosen forbidden wife Wanni",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131230597,"Man, who selected this year’s housemates? That person really didn’t do a good job. Who are these two overweight women who are talking right now?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131488763,"Giel, I heard that your girlfriend Chinwe was intimate with another man in the restroom. Can you confirm if this is true or not?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131373735,"Why is kellyrae snubbing the wife or being too serious with the wife, even when she's trying to bring up a conversation. Wahala for besties",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.81E+18,"Looks like Rejah just came with a lot of drama. Her husband is suing her &amp; the show as she filmed in his house with their kids without his consent. To his knowledge, she withdrew from the show after surgery only to find out she continued to film without his consent 🙆🏽‍♀️#RHONairobi https://t.co/jXHGNdYkky",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.81E+18,Dr C seems like a powerful and influential someone in Nairobi. She has contacts and plugs people. I suspect that’s why Minnie and Vera will keep fighting or gossiping about her but never ever cut ties with her. They never burn the bridge #RHONairobi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.81E+18,These women all bluetoothed their hate for Dr C. I’m trying hard to think of what Dr C did to Rajah before the sniffing comments?? Child soldier comments are not that deep. She should have clarified and moved on .. #RHONairobi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIH-006,"No.. actually boys parents and boys are selfish that thy want the girl, her dowry her free service and everything but dint want or allow her to look afer her own parents .. uch selfish and greedy people..",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIH-009,The thing which i just don't get at all is how do these people create amazinggg shaadis with all the trauma in hand??? Like really no fuck ups even when Karan is naked on the beach???,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIH-018,Puja you understand the difference between enhancing someone’s facial features and changing someone’s skin tone? The latter happens because of societal prejudice towards dark skinned people and most Indians are dark. We are a self-hating people who still think white skin is superior. Please try to understand nuances.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
