title,id,url,viewCount,date,likes,channelName,channelUrl,numberOfSubscribers,duration,days_since_upload,ReachFactor,EngagementEfficiency,VelocityFactor,ViralityScore
"UNCUT - Made In Heaven Season 2 Trailer Launch | Sobhita, Arjun, Jim, Mona, Zoya And Reema",ldXVfYiF5Kw,https://www.youtube.com/watch?v=ldXVfYiF5Kw,8431,8/1/23 18:14,65,Viralbollywood,https://www.youtube.com/@viralbollywood,6140000,00:49:46,792,9.039789271,0.007709643,0.082070707,0.005719799
Elnaaz Norouzi in a Beautiful Saree at Screening of Web-series Made In Heaven Season 2 #shorts,ksVTT3LC0OE,https://www.youtube.com/shorts/ksVTT3LC0OE,504,8/9/23 02:30,19,B4U Paps,https://www.youtube.com/@b4upaps,47200,00:00:28,785,6.224558429,0.037698413,0.024203822,0.005679571
Bol Bachat ft. Mona Singh | Made In Heaven Season 2 | Prime Video India,ofn9Ian0kac,https://www.youtube.com/watch?v=ofn9Ian0kac,6193,8/24/23 06:30,55,Prime Video India,https://www.youtube.com/@PrimeVideoIN,35700000,00:01:31,770,8.731336361,0.008880995,0.071428571,0.005538782
Made in Heaven Season 2 Episode 7 | Fazia (Kalki Koechlin) And Adil (Jim Sarbh),gEPbZgVqOJA,https://www.youtube.com/watch?v=gEPbZgVqOJA,92720,10/10/23 04:30,178,Puneet Gupta Invitations,https://www.youtube.com/@PuneetGuptaInvitations,5800,00:00:26,723,11.43735026,0.001919758,0.246196404,0.005405722
phool genda made in heaven season 2 viral story #viral #like #shorts #reels,eFDudKMIJOI,https://www.youtube.com/shorts/eFDudKMIJOI,73,8/10/23 04:41,8,Sandy verma ponkh,https://www.youtube.com/@sandyvermaponkh126,158,00:00:40,784,4.304065093,0.109589041,0.010204082,0.004813045
Is MADE IN HEAVEN SEASON 2 worth watching? | Chai aur cinema |,#NAME?,https://www.youtube.com/watch?v=-uiOCr7ef6E,594,8/16/23 12:50,18,Chai Aur Cinema,https://www.youtube.com/@Chai__aur__Cinema,242,00:02:06,777,6.388561406,0.03030303,0.023166023,0.004484775
Made in Heaven S2 #webseries #trailer #hindi #telugu #trending #viral #comedy #shorts #primevideo,hmzRf45iimk,https://www.youtube.com/shorts/hmzRf45iimk,269,8/5/23 16:51,13,2BHK - ToBeHonest Kontent,https://www.youtube.com/@tobehonestkontent,1680,00:00:59,788,5.598421959,0.048327138,0.016497462,0.004463482
Radhika apte Buddhist wedding | Made in heaven season 2 | Amazon prime video |,L7osq1h9JLw,https://www.youtube.com/watch?v=L7osq1h9JLw,3459,8/23/23 08:07,38,Queen,https://www.youtube.com/@Queen-pi3ck,15,00:02:56,770,8.149023868,0.010985834,0.049350649,0.004418059
Ambedkarite Buddhist Wedding Scene in Made in Heaven S2E5 | Beautiful Ritual & Cultural Significance,1KdpkM5il_Y,https://www.youtube.com/watch?v=1KdpkM5il_Y,1747,8/23/23 05:08,28,BuddhistIndia358,https://www.youtube.com/@buddhistindia3586,26900,00:02:34,771,7.466227556,0.016027476,0.036316472,0.004345803
Made In Heaven Season 2 Full Review | Amazon Prime Video| Sobhita Arjun Vijay Raaz | #primevideo,RV7qZvYjVi8,https://www.youtube.com/watch?v=RV7qZvYjVi8,241,9/3/23 17:15,12,P Jai,https://www.youtube.com/@ThePJaiOfficial,378,00:05:19,759,5.488937726,0.049792531,0.015810277,0.004321077
"Made in Heaven Review, Made in Heaven Web Series Review, Made in Heaven Season 2 Trailer",T1LhTOlsRTQ,https://www.youtube.com/watch?v=T1LhTOlsRTQ,690,8/1/23 05:00,19,Movie Shuvie (Positivity Zinda Hai!),https://www.youtube.com/@MovieShuvie,68800,00:04:09,793,6.538139824,0.027536232,0.023959647,0.004313593
