author,comment,commentsCount,pageUrl,replyCount,title,type,voteCount,clean_comment,text,language
@itsashish5502,"इतिहास में ऐसा पहली बार हुआ हे 
जो ऐसी मूवी आयी है नमो बुद्धाय",16,https://www.youtube.com/watch?v=vnm6mH4Dbnc,0,"Strong Stories, Stronger Brides | Made In Heaven S2 #primevideoindia",comment,58,इतिहास में ऐसा पहली बार हुआ हे जो ऐसी मूवी आयी है नमो बुद्धाय,इतिहास में ऐसा पहली बार हुआ हे जो ऐसी मूवी आयी है नमो बुद्धाय,Hindi
@mahadevyedake2494,व्हेरी नाईस ,16,https://www.youtube.com/watch?v=vnm6mH4Dbnc,0,"Strong Stories, Stronger Brides | Made In Heaven S2 #primevideoindia",comment,2,व्हेरी नाईस,व्हेरी नाईस,Hindi
@bho-jai-tonk555,जा छोरा शुभम हमें शुरू से पसंद नहीं  हेगा । जा छोरा राजेश को बोलने ना देतो है हर बार।,243,https://www.youtube.com/watch?v=6rfvN5Az6R8,0,Made in Heaven Season 2 & Dream Girl 2 trailer review | Hot or Miss | Honest Review | MensXP,comment,0,जा छोरा शुभम हमें शुरू से पसंद नहीं हेगा । जा छोरा राजेश को बोलने ना देतो है हर बार।,जा छोरा शुभम हमें शुरू से पसंद नहीं हेगा । जा छोरा राजेश को बोलने ना देतो है हर बार।,Hindi
@AnkitSharma-hm6ug,झांट भर  बढ़िया तरीके से कूटे हो।,80,https://www.youtube.com/watch?v=0JVAozV1EnA,0,Made In Heaven Season 2 All Episodes Review | Made In Heaven Season 2 Review | Amazon Prime |,comment,0,झांट भर बढ़िया तरीके से कूटे हो।,झांट भर बढ़िया तरीके से कूटे हो।,Hindi
@faujicommando101,इंडियन कमांडो,15,https://www.youtube.com/watch?v=WAolvG2R2EY,0,"Mehendi Song - Made in Heaven Season 2 |Aditi Negi, Balkrishan Sharma, Kanishka Negi",comment,0,इंडियन कमांडो,इंडियन कमांडो,Hindi
@comedyadda11268,जेठालाल को बुलाओ।,243,https://www.youtube.com/watch?v=6rfvN5Az6R8,0,Made in Heaven Season 2 & Dream Girl 2 trailer review | Hot or Miss | Honest Review | MensXP,reply,0,जेठालाल को बुलाओ।,जेठालाल को बुलाओ।,Hindi
@seemathakur5400,स्वार्थी मां बाप ,359,https://www.youtube.com/watch?v=pytCSxxDvM8,0,Problem Of Every Girl? | Made In Heaven S2 | #primevideoindia,comment,2,स्वार्थी मां बाप,स्वार्थी मां बाप,Hindi
@beingmaanav,"जर दलित म्हणून हार मानत असाल, किव्वा रोज अन्याय अत्त्याचार मध्ये मरत असाल तर तुम्ही त्याच लायकीचे आहेत, ज्या समाजातून एक बालक उठून ह्याच देशाचं जिथे तू मी राहतो त्याच संविधान लिहू शकतो, अरे तर आज त्याने च दिलेल्या हक्कावर आपण काय नाही करू शकत..? जागे व्हा होऊ द्या जरा ते थंड पडलेलं तुमचं रक्त गरम आणि दाखवा ह्या जगाला आम्ही पण आहोत इथे. आमची दाखल ही घ्यावी लागेल तुम्हाला...  गुलामी सोडा एक व्हा.. राज्य करायला शिका....... प्लिज शिका शिका शिका..",607,https://www.youtube.com/watch?v=p2GTty4vK1g,0,"Made in heaven season 2| wedding scene| Radhika Apte,Shivani Raghuvanshi,Arjun Mathur,Kalki,Shashank",comment,1,"जर दलित म्हणून हार मानत असाल, किव्वा रोज अन्याय अत्त्याचार मध्ये मरत असाल तर तुम्ही त्याच लायकीचे आहेत, ज्या समाजातून एक बालक उठून ह्याच देशाचं जिथे तू मी राहतो त्याच संविधान लिहू शकतो, अरे तर आज त्याने च दिलेल्या हक्कावर आपण काय नाही करू शकत..? जागे व्हा होऊ द्या जरा ते थंड पडलेलं तुमचं रक्त गरम आणि दाखवा ह्या जगाला आम्ही पण आहोत इथे. आमची दाखल ही घ्यावी लागेल तुम्हाला... गुलामी सोडा एक व्हा.. राज्य करायला शिका....... प्लिज शिका शिका शिका..","जर दलित म्हणून हार मानत असाल, किव्वा रोज अन्याय अत्त्याचार मध्ये मरत असाल तर तुम्ही त्याच लायकीचे आहेत, ज्या समाजातून एक बालक उठून ह्याच देशाचं जिथे तू मी राहतो त्याच संविधान लिहू शकतो, अरे तर आज त्याने च दिलेल्या हक्कावर आपण काय नाही करू शकत..? जागे व्हा होऊ द्या जरा ते थंड पडलेलं तुमचं रक्त गरम आणि दाखवा ह्या जगाला आम्ही पण आहोत इथे. आमची दाखल ही घ्यावी लागेल तुम्हाला... गुलामी सोडा एक व्हा.. राज्य करायला शिका....... प्लिज शिका शिका शिका..",Hindi
