id,text,retweetCount,replyCount,likeCount,quoteCount,createdAt,bookmarkCount,isRetweet,isQuote
1958103792848617730,Who serves drama better than anyone? 🤔 Tushow her name kwa comment then stream #RHONairobi #NaiRich #TheMommyClubNBO on Showmax 🎥🍿 https://t.co/qtqsVZQM41 https://t.co/dKIcHAraNY,0,1,0,1,Wed Aug 20 09:48:18 +0000 2025,0,FALSE,FALSE
1957500101737476133,"🇰🇪 THE REAL HOUSEWIVES OF NAIROBI
#RHONairobi
Country: Kenya 🇰🇪
Seasons: 2 (3 in the works?)
Language: english
Streaming: showmax https://t.co/3FxNRImDYJ",6,1,62,0,Mon Aug 18 17:49:27 +0000 2025,3,FALSE,FALSE
1956257527840076023,"We all have a favourite. 🤩 Drop yours kwa comment, then stream #RHONairobi #JijiShowmax #RecklessShowmax on Showmax 🎥🍿 https://t.co/ycFK5jMgT6 https://t.co/TLapuakuCW",2,0,0,0,Fri Aug 15 07:31:54 +0000 2025,0,FALSE,FALSE
1955898122720166314,"Your birthday month style just dropped. 🤩 Retweet if we nailed it, then stream #RHONairobi #RHOA #RHOMiami zinastream on Showmax 🍿🎥  https://t.co/ycFK5jMgT6

Thread 👇👇 https://t.co/GPdNz315jO",1,1,0,0,Thu Aug 14 07:43:45 +0000 2025,0,FALSE,FALSE
1951248693220253904,"It's Friday, and Fridays are for Housewives; get your fix 👉 https://t.co/AIIqGbUAFs

#RHODurban #RHOLagos #RHONairobi https://t.co/1adFxXIkD0",5,3,4,0,Fri Aug 01 11:48:35 +0000 2025,0,FALSE,FALSE
1949364128721862963,One call. One hero. Who’s saving you? 📞 #RHONairobi #Transplant #NewAmsterdam https://t.co/g2E7tGgEy3,1,0,1,0,Sun Jul 27 07:00:00 +0000 2025,0,FALSE,FALSE
1948649811940401596,‘I felt betrayed’ Minne Kariuki talks about fallout with Vera Sidika https://t.co/wKidAeigTr #Minnekariuki #Verasidika #RHONairobi #Realhousewivesofnairobi https://t.co/jrBvRgEY7N,0,0,0,0,Fri Jul 25 07:41:33 +0000 2025,0,FALSE,FALSE
1947927445912351009,Tuchapie only one destination utapick then stream #RHONairobi #RHOA #RHOMiami on Showmax 🎥🍿   https://t.co/qtqsVZQM41 https://t.co/OABrB0hKq2,1,0,0,0,Wed Jul 23 07:51:08 +0000 2025,0,FALSE,FALSE
1947318459789930588,Every queen got moods. What's yours? 🤔 #RHONairobi #RHOA zinastream on Showmax 🎥🍿https://t.co/qtqsVZQM41 https://t.co/jEvMktjoXd,2,0,0,1,Mon Jul 21 15:31:14 +0000 2025,0,FALSE,FALSE
1946589953095250323,Best reunion slay goes to...? 🤔 Tushow kwa comment then stream #RHONairobi on Showmax 🎥🍿 https://t.co/mCgpqzFVNV https://t.co/skTgaZHA4w,0,2,1,0,Sat Jul 19 15:16:25 +0000 2025,0,FALSE,FALSE
